Vgs [V],Ids (Vds = 0.05V) [A],Ids (Vds = 0.75V) [A]
0,3.55E-06,1.65E-05
0.025,7.66E-06,3.44E-05
0.05,1.62E-05,6.97E-05
0.075,3.35E-05,1.36E-04
0.1,6.67E-05,2.56E-04
0.125,1.27E-04,4.59E-04
0.15,2.28E-04,7.82E-04
0.175,3.84E-04,1.26E-03
0.2,5.99E-04,1.91E-03
0.225,8.67E-04,2.76E-03
0.25,1.17E-03,3.80E-03
0.275,1.47E-03,5.01E-03
0.3,1.77E-03,6.37E-03
0.325,2.04E-03,7.84E-03
0.35,2.27E-03,9.40E-03
0.375,2.48E-03,1.10E-02
0.4,2.66E-03,1.27E-02
0.425,2.81E-03,1.44E-02
0.45,2.94E-03,1.61E-02
0.475,3.06E-03,1.78E-02
0.5,3.16E-03,1.95E-02
0.525,3.25E-03,2.12E-02
0.55,3.33E-03,2.28E-02
0.575,3.40E-03,2.45E-02
0.6,3.46E-03,2.61E-02
0.625,3.51E-03,2.76E-02
0.65,3.56E-03,2.92E-02
0.675,3.61E-03,3.06E-02
0.7,3.65E-03,3.21E-02
0.725,3.69E-03,3.34E-02
0.75,3.72E-03,3.47E-02
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
